athlete_id,name,birth_year,birth_city,birth_state,height,weight,sport_clean,is_paralympic
104239,Megan Dirkmaat,1976,San Jose,CA,185 cm,81 kg,Rowing,False
104240,Ali Cox,1979,Turlock,CA,182 cm,83 kg,Rowing,False
104242,Anna Mickelson,1980,Seattle,WA,183 cm,75 kg,Rowing,False
104241,Caryn Davies,1982,Ithaca,NY,193 cm,82 kg,Rowing,False
104205,Lisa Schlenker,1964,Lake Oswego,OR,167 cm,58 kg,Rowing,False
104206,Stacey Borgman,1975,Homer,AK,175 cm,60 kg,Rowing,False
104020,Peter Wells,1974,Paoli,PA,175 cm,68 kg,Sailing,False
104033,Kevin Hall,1969,Ventura,CA,182 cm,97 kg,Sailing,False
104560,Paul Cayard,1959,San Francisco,CA,187 cm,97 kg,Sailing,False
104561,Phil Trinter,1969,Lorain,OH,198 cm,99 kg,Sailing,False
104094,Mark Mendelblatt,1973,St. Petersburg,FL,188 cm,89 kg,Sailing,False
104077,Tim Wadlow,1974,San Diego,CA,188 cm,75 kg,Sailing,False
104078,Pete Spaulding,1975,Newtown,PA,182 cm,72 kg,Sailing,False
104008,Meg Galliard,1973,Huntington,NY,172 cm,64 kg,Sailing,False
103949,Katie McDowell,1975,Rochester,NY,172 cm,58 kg,Sailing,False
103950,Isabelle Kinsolving,1979,New York,NY,177 cm,68 kg,Sailing,False
103964,Carol Cronin,1964,Woods Hole,MA,157 cm,59 kg,Sailing,False
103965,Liz Filter,1965,Washington,DC,167 cm,81 kg,Sailing,False
103966,Nancy Haberland,1960,Evanston,IL,162 cm,56 kg,Sailing,False
104756,Jason Turner,1975,Rochester,NY,183 cm,98 kg,Shooting,False
104767,Matt Emmons,1981,Mount Holly,NJ,175 cm,84 kg,Shooting,False
104845,Koby Holland,1974,Dillon,MT,185 cm,83 kg,Shooting,False
104820,Shawn Dulohery,1965,Kansas City,MO,182 cm,107 kg,Shooting,False
104666,Emily Caruso,1977,Stamford,CT,157 cm,52 kg,Shooting,False
104670,Hattie Johnson,1981,Athol,ID,162 cm,70 kg,Shooting,False
104736,Morgan Hicks,1982,Tacoma,WA,170 cm,70 kg,Shooting,False
104739,Sarah Blakeslee,1985,Vancouver,WA,170 cm,56 kg,Shooting,False
104710,Whitly Loper,1986,Jackson,MS,162 cm,61 kg,Shooting,False
109138,Jennie Finch,1980,La Verne,CA,185 cm,77 kg,Softball,False
109139,Tairia Flowers,1981,Tucson,AZ,170 cm,73 kg,Softball,False
109140,Amanda Freed,1979,Fountain Valley,CA,172 cm,62 kg,Softball,False
109141,Lovie Jung,1980,Honolulu,HI,168 cm,64 kg,Softball,False
109142,Kelly Kretschman,1979,Indian Harbour Beach,FL,165 cm,66 kg,Softball,False
109143,Jessica Mendoza,1980,Oxnard,CA,173 cm,66 kg,Softball,False
109144,Cat Osterman,1983,Houston,TX,188 cm,79 kg,Softball,False
109145,Jenny Topping,1980,Whittier,CA,167 cm,78 kg,Softball,False
109146,Natasha Watley,1981,Canoga Park,CA,175 cm,78 kg,Softball,False
103191,Larsen Jensen,1985,Bakersfield,CA,185 cm,88 kg,Swimming,False
103421,Gabe Woodward,1979,Bakersfield,CA,187 cm,83 kg,Swimming,False
103585,Ryan Lochte,1984,Canandaigua,NY,188 cm,88 kg,Swimming,False
103587,Peter Vanderkaay,1984,Royal Oak,MI,193 cm,95 kg,Swimming,False
103586,Dan Ketchum,1981,Cincinnati,OH,193 cm,95 kg,Swimming,False
103753,Bryce Hunt,1982,Newburgh,IN,188 cm,77 kg,Swimming,False
103223,Brendan Hansen,1981,Havertown,PA,183 cm,85 kg,Swimming,False
103215,Mark Gangloff,1982,Akron,OH,183 cm,84 kg,Swimming,False
103580,Scott Usher,1983,Fullerton,NE,187 cm,81 kg,Swimming,False
103300,Kara Lynn Joyce,1985,Brooklyn,NY,183 cm,70 kg,Swimming,False
103301,Natalie Coughlin,1982,Vallejo,CA,173 cm,63 kg,Swimming,False
103470,Dana Vollmer,1987,Syracuse,NY,185 cm,68 kg,Swimming,False
103368,Kalyn Keller,1985,Phoenix,AZ,177 cm,72 kg,Swimming,False
103280,Amanda Weir,1986,Davenport,IA,188 cm,77 kg,Swimming,False
103281,Colleen Lanné,1979,Tucson,AZ,177 cm,65 kg,Swimming,False
103787,Carly Piper,1983,Grosse Pointe,MI,187 cm,81 kg,Swimming,False
103786,Rhi Jeffrey,1986,Delray Beach,FL,182 cm,76 kg,Swimming,False
103252,Rachel Komisarz,1976,Warren,MI,172 cm,65 kg,Swimming,False
103319,Haley Cope,1979,Chico,CA,177 cm,63 kg,Swimming,False
103919,Margaret Hoelzer,1983,Huntsville,AL,180 cm,79 kg,Swimming,False
109562,Kristen Caverly,1984,San Clemente,CA,177 cm,63 kg,Swimming,False
103352,Tara Kirk,1982,Bremerton,WA,167 cm,65 kg,Swimming,False
103760,Caroline Bruce,1986,Wichita,KS,172 cm,67 kg,Swimming,False
103508,Dana Kirk,1984,Bremerton,WA,177 cm,65 kg,Swimming,False
103232,Katie Hoff,1989,Abingdon,MD,175 cm,64 kg,Swimming,False
107526,Mark Hazinski,1985,Mishawaka,IN,193 cm,90 kg,Table Tennis,False
107488,Whitney Ping,1986,Portland,OR,162 cm,54 kg,Table Tennis,False
108157,Nia Abdallah,1984,Houston,TX,175 cm,56 kg,Taekwondo,False
107343,Mardy Fish,1981,Edina,MN,187 cm,81 kg,Tennis,False
107334,Taylor Dent,1981,Newport Beach,CA,187 cm,88 kg,Tennis,False
107359,Andy Roddick,1982,Omaha,NE,187 cm,89 kg,Tennis,False
107360,Bob Bryan,1978,Camarillo,CA,193 cm,92 kg,Tennis,False
107361,Mike Bryan,1978,Camarillo,CA,191 cm,87 kg,Tennis,False
107306,Lisa Raymond,1973,Norristown,PA,165 cm,55 kg,Tennis,False
107314,Chanda Rubin,1976,Lafayette,LA,167 cm,61 kg,Tennis,False
106525,Andy Potts,1976,Hershey,PA,187 cm,78 kg,Triathlon,False
106524,Victor Plata,1973,Minneapolis,MN,182 cm,72 kg,Triathlon,False
106094,Susan Williams,1969,Long Beach,CA,165 cm,58 kg,Triathlon,False
106098,Barb Lindquist,1969,Wilmington,DE,167 cm,58 kg,Triathlon,False
109327,Brook Billings,1980,Santa Barbara,CA,198 cm,95 kg,Volleyball,False
109328,Phil Eatherton,1974,Kirkwood,MO,205 cm,97 kg,Volleyball,False
109329,Gabe Gardner,1976,San Diego,CA,209 cm,103 kg,Volleyball,False
109330,Reid Priddy,1977,Richmond,VA,194 cm,89 kg,Volleyball,False
109331,Riley Salmon,1976,Amarillo,TX,197 cm,89 kg,Volleyball,False
109332,Clay Stanley,1978,Honolulu,HI,205 cm,105 kg,Volleyball,False
109239,Tayyiba Haneef,1979,Upland,CA,200 cm,82 kg,Volleyball,False
109238,Lindsey Berg,1980,Honolulu,HI,173 cm,77 kg,Volleyball,False
109237,Wiz Bachman,1978,Minneapolis,MN,193 cm,85 kg,Volleyball,False
109241,Ogonna Nnamani,1983,Bloomington,IL,185 cm,80 kg,Volleyball,False
109240,Nancy Metcalf,1978,Sioux City,IA,185 cm,74 kg,Volleyball,False
109475,Omar Amr,1974,Bellflower,CA,180 cm,92 kg,Water Polo,False
109476,Layne Beaubien,1976,Coronado,CA,198 cm,100 kg,Water Polo,False
109477,Brandon Brooks,1981,Honolulu,HI,198 cm,111 kg,Water Polo,False
109478,Genai Kerr,1976,Los Angeles,CA,203 cm,95 kg,Water Polo,False
109479,Dan Klatt,1978,Dallas,TX,195 cm,92 kg,Water Polo,False
109480,Brett Ormsby,1982,San Diego,CA,190 cm,83 kg,Water Polo,False
109481,Jeff Powers,1980,Chattanooga,TN,201 cm,108 kg,Water Polo,False
109482,Chris Segesman,1979,Santa Barbara,CA,193 cm,92 kg,Water Polo,False
109483,Jesse Smith,1983,Kailua,HI,194 cm,105 kg,Water Polo,False
109484,Adam Wright,1977,Huntington Beach,CA,191 cm,89 kg,Water Polo,False
109404,Margie Dingeldein,1980,Merced,CA,167 cm,58 kg,Water Polo,False
109405,Jacqueline Frank,1980,Hermosa Beach,CA,180 cm,72 kg,Water Polo,False
109406,Natalie Golda,1981,Lakewood,CA,180 cm,84 kg,Water Polo,False
109407,Thalia Munro,1982,Santa Barbara,CA,177 cm,70 kg,Water Polo,False
109408,Kelly Rulon,1984,San Diego,CA,178 cm,61 kg,Water Polo,False
109409,Amber Stachowski,1983,Mission Viejo,CA,182 cm,72 kg,Water Polo,False
104574,Chad Vaughn,1980,Konawa,OK,170 cm,77 kg,Weightlifting,False
