hometown_id,city_name,state_code,latitude,longitude,state_latitude,state_longitude,total_athletes,ht_name,region,elevation,distance_to_west_coast_km,distance_to_east_coast_km,distance_to_nearest_coast_km,climate_zone
HT_WI_Milton,Milton,WI,42.7753567,-88.9390017,44.2685,-89.6165,1,"Milton, WI",Midwest,267.0,2881.400996309377,1261.341356571961,1261.341356571961,Temperate
HT_WI_Milwaukee,Milwaukee,WI,43.0386475,-87.9090751,44.2685,-89.6165,1,"Milwaukee, WI",Midwest,189.0,2965.317711151944,1181.1785830483113,1181.1785830483113,Temperate
HT_MN_Minneapolis,Minneapolis,MN,44.9772995,-93.2654692,45.6945,-93.9196,3,"Minneapolis, MN",Midwest,267.0,2550.5218634452226,1639.5576915979987,1639.5576915979987,Temperate
HT_MT_Missoula,Missoula,MT,46.8701049,-113.995267,47.0527,-109.6333,1,"Missoula, MT",West,976.0,1224.321057166391,3253.4641943962592,636.208440335165,Cold Temperate
HT_CT_Monroe,Monroe,CT,41.3325962,-73.2073358,41.5978,-72.7554,1,"Monroe, CT",Northeast,202.0,4191.282131902542,96.17542138252038,96.17542138252038,Temperate
HT_WA_Monroe,Monroe,WA,47.8552259,-121.971335,47.4009,-121.4905,1,"Monroe, WA",West,20.0,1120.4110095368683,3845.56811577822,38.71653080125065,Cold Temperate
HT_AL_Morris,Morris,AL,33.747724,-86.8091343,32.8067,-86.7113,1,"Morris, AL",South,126.0,3231.595361076654,1371.9022736031177,923.2597083291355,Tropical/Subtropical
HT_MD_Mount_Airy,Mount Airy,MD,39.3765918,-77.1549078,39.0639,-76.8021,1,"Mount Airy, MD",South,231.0,3906.753382500663,306.9305905192099,306.9305905192099,Subtropical
HT_MD_Mt._Airy,Mt. Airy,MD,39.3765918,-77.1549078,39.0639,-76.8021,1,"Mt. Airy, MD",South,231.0,3906.753382500663,306.9305905192099,306.9305905192099,Subtropical
HT_IN_Muncie,Muncie,IN,40.1936892,-85.3865271,39.8494,-86.2604,1,"Muncie, IN",Midwest,291.0,3196.6896726241353,966.4119448246296,966.4119448246296,Temperate
HT_UT_Murray,Murray,UT,40.6667841,-111.888417,39.321,-111.0937,1,"Murray, UT",West,1315.0,963.6698220555824,3176.7763024567703,963.6698220555824,Temperate
HT_IL_Naperville,Naperville,IL,41.7728699,-88.1479278,40.3495,-88.9861,2,"Naperville, IL",Midwest,209.0,2949.6780718963496,1189.9264654382869,1189.9264654382869,Temperate
HT_IL_Nashville,Nashville,IL,38.3434906,-89.3809783,40.3495,-88.9861,1,"Nashville, IL",Midwest,157.0,2884.605831049514,1345.9760652736752,1100.3348633039536,Subtropical
HT_TN_Nashville,Nashville,TN,36.1622767,-86.7742984,35.7478,-86.6923,2,"Nashville, TN",South,130.0,3159.97432263558,1222.2916846604164,1071.4614520039788,Subtropical
HT_NE_Nebraska_City,Nebraska City,NE,40.676526,-95.858694,41.4925,-99.9018,1,"Nebraska City, NE",Midwest,321.0,2307.0808209954475,1842.2472701286747,1211.9091084525387,Temperate
